3545.5969 CuI
3554.3059 CuI
3606.5220 CuI
3649.832 CuI
3729.3091 CuI
3765.270 CuI
3780.8401 CuI
3809.18 CuI
3818.879 CuI
3850.581 CuI
3868.528 CuI
3891.979 CuI
3925.7190 CuI
3928.6230 CuI
3946.0969 CuI
3994.792 CuI
4013.857 CuI
4033.809 CuI
4044.418 CuI
4052.921 CuI
4072.385 CuI
4103.912 CuI
4131.724 CuI
4158.591 CuI
4164.1792 CuI
4181.884 CuI
4191.029 CuI
4198.3169 CuI
4199.889 CuI
4228.158 CuI
4237.220 CuI
4259.362 CuI
4266.5269 CuI
4272.1689 CuI
4277.5278 CuI
4300.101 CuI
4309.239 CuI
4331.1992 CuI
4333.561 CuI
4335.3379 CuI
4345.168 CuI
4348.064 CuI
4370.753 CuI
4375.954 CuI
4379.667 CuI
4385.057 CuI
4400.986 CuI
4426.001 CuI
4430.189 CuI
4448.879 CuI
4474.759 CuI
4481.811 CuI
4510.733 CuI
4522.323 CuI
4545.052 CuI
4563.743 CuI
4579.350 CuI
4589.898 CuI
4596.097 CuI
4609.567 CuI
4628.441 CuI
4637.233 CuI
4657.901 CuI
4702.316 CuI
4726.868 CuI
4732.053 CuI
4735.906 CuI
4764.865 CuI
4806.021 CuI
4847.810 CuI
4879.864 CuI
4889.042 CuI
4904.7520 CuI
4933.209 CuI
4965.080 CuI
5009.3340 CuI
5017.163 CuI
5062.037 CuI
5090.4951 CuI
5141.7832 CuI
5151.391 CuI
5162.285 CuI
5187.746 CuI
5221.2729 CuI
5252.7891 CuI
5254.4712 CuI
5421.3521 CuI
5451.6519 CuI
5457.416 CuI
5495.874 CuI
5506.113 CuI
5524.957 CuI
5558.702 CuI
5572.541 CuI
5597.4761 CuI
5606.733 CuI
5650.704 CuI
5681.8999 CuI
5689.6401 CuI
5739.520 CuI
5772.1138 CuI
5802.0801 CuI
5834.263 CuI
5860.310 CuI
5882.6240 CuI
5888.584 CuI
5912.085 CuI
5928.813 CuI
5942.6665 CuI
5987.302 CuI
5998.999 CuI
6025.150 CuI
6032.127 CuI
6043.223 CuI
6059.373 CuI
6090.785 CuI
6098.8032 CuI
6105.6348 CuI
6114.923 CuI
6127.4160 CuI
6138.6558 CuI
6145.441 CuI
6155.2388 CuI
6172.2778 CuI
6212.5029 CuI
6215.9380 CuI
6296.872 CuI
6307.657 CuI
6369.575 CuI
6384.717 CuI
6416.307 CuI
6466.553 CuI
6538.112 CuI
6604.8530 CuI
6677.2822 CuI
6752.8330 CuI
6766.6134 CuI
6871.2891 CuI
6937.6658 CuI
6965.4312 CuI
7030.2520 CuI
7067.2168 CuI
7107.478 CuI
7125.820 CuI
7147.0410 CuI
7158.8301 CuI
7206.9810 CuI
7272.9351 CuI
7383.9795 CuI
7503.8687 CuI
7514.6514 CuI
7635.1055 CuI
7723.7598 CuI
7948.1753 CuI
8006.157 CuI
8014.786 CuI
8103.693 CuI
8115.311 CuI
8264.523 CuI
8408.210 CuI
8424.648 CuI
8521.442 CuI
9122.967 CuI
9224.499 CuI
9354.220 CuI
9657.786 CuI
